Discussion 22,16,13,0.130102041,0.144427002,3.020408163,1.03771844,3,3,0.385416667,0.395833333,1.75,0.1080602,76,8,0.222222222,0.25,17.88888889,1.63332775,2,5,0.428571429,0.466666667,2.023809524,0.073598129,1.03771844,C,Discussion 22<-> Chatting35,
Discussion 23,4,8,0.107142857,0.12755102,0.93877551,-1.732170879,3,3,0.385416667,0.395833333,1.75,0.1080602,55,8,0.222222222,0.25,13.22222222,-0.231746588,2,3,0.428571429,0.468253968,1.55952381,-0.934713472,0.1080602,D,Discussion 23,
Discussion 24,11,10,0.12244898,0.144897959,2.071428571,-0.22502522,3,2,0.385416667,0.40625,1.5625,-0.320215089,59,7,0.222222222,0.238095238,13.94444444,0.056895869,2,5,0.428571429,0.466666667,2.023809524,0.073598129,0.073598129,P,Discussion 24<-> Presentation2,
Discussion 25,15,13,0.129251701,0.144427002,2.87755102,0.847627997,3,2,0.385416667,0.34375,1.5,-0.462973518,71,7,0.222222222,0.253968254,16.66666667,1.144855899,2,4,0.44047619,0.482142857,1.845238095,-0.314214025,0.847627997,C,Discussion 25<-> Chatting36,
Discussion 26,15,13,0.131972789,0.144427002,2.918367347,0.901939552,7,1,0.325892857,0.375,2.46875,1.749782141,0,0,NaN,NaN,#VALUE!,#VALUE!,2,2,0.44047619,0.5,1.380952381,-1.322525626,1.749782141,D,Discussion 26,
Discussion 27,11,11,0.12987013,0.141001855,2.204081633,-0.048512665,3,2,0.385416667,0.4375,1.59375,-0.248835874,76,7,0.222222222,0.238095238,17.72222222,1.566717952,2,4,0.44047619,0.482142857,1.845238095,-0.314214025,-0.048512665,C,Discussion 27<-> Chatting36,
Discussion 28,9,12,0.138321995,0.142857143,2.102040816,-0.184291553,2,3,0.390625,0.395833333,1.375,-0.748490378,41,8,0.222222222,0.25,10.11111111,-1.47512948,2,5,0.428571429,0.466666667,2.023809524,0.073598129,0.073598129,P,Discussion 28<-> Presentation2,
Discussion 30,8,8,0.137755102,0.132653061,1.632653061,-0.808874439,2,3,0.421875,0.395833333,1.4375,-0.605731948,72,6,0.222222222,0.240740741,16.72222222,1.167059165,3,5,0.452380952,0.466666667,2.523809524,1.15947216,1.15947216,P,Discussion 30<-> Presentation2,
Presentation 1,15,12,0.131972789,0.146258503,2.857142857,0.820472219,3,4,0.385416667,0.375,1.90625,0.464956274,40,7,0.222222222,0.253968254,9.777777778,-1.608349076,3,5,0.444444444,0.466666667,2.5,1.107763873,1.107763873,P,Presentation 1,
Presentation 2,15,13,0.131972789,0.144427002,2.918367347,0.901939552,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,2,6,0.44047619,0.484126984,2.333333333,0.745805862,#VALUE!,C,Presentation 2<-> Chatting3,
Presentation 3,12,8,0.119047619,0.12755102,1.93877551,-0.401537775,2,2,0.421875,0.3125,1.15625,-1.248144881,75,6,0.222222222,0.259259259,17.44444444,1.455701622,2,5,0.428571429,0.466666667,2.023809524,0.073598129,0.073598129,P,Presentation 3,
Presentation 4,8,12,0.12244898,0.142857143,1.836734694,-0.537316663,3,2,0.385416667,0.40625,1.5625,-0.320215089,56,8,0.222222222,0.25,13.44444444,-0.142933524,3,3,0.428571429,0.444444444,1.952380952,-0.081526733,-0.081526733,P,Presentation 4,
Presentation 5,16,13,0.130102041,0.144427002,3.020408163,1.03771844,7,3,0.325892857,0.395833333,2.875,2.677711934,42,8,0.222222222,0.25,10.33333333,-1.386316416,1,3,0.428571429,0.444444444,1.095238095,-1.943025072,2.677711934,D,Presentation 5<-> Discussion19,
Presentation 6,11,9,0.12244898,0.142857143,1.989795918,-0.333648331,5,3,0.31875,0.395833333,2.1875,1.107369208,57,7,0.222222222,0.238095238,13.5,-0.120730258,2,2,0.44047619,0.416666667,1.297619048,-1.503504631,1.107369208,D,Presentation 6<-> Discussion19,
Presentation 7,12,10,0.129251701,0.144897959,2.275510204,0.046532556,6,3,0.328125,0.395833333,2.5625,1.963919785,59,7,0.222222222,0.238095238,13.94444444,0.056895869,2,5,0.428571429,0.466666667,2.023809524,0.073598129,1.963919785,D,Presentation 7<-> Discussion19,
Presentation 8,16,13,0.130102041,0.144427002,3.020408163,1.03771844,5,2,0.31875,0.4375,2.03125,0.750473134,53,8,0.222222222,0.25,12.77777778,-0.409372716,1,4,0.428571429,0.482142857,1.392857143,-1.296671482,1.03771844,C,Presentation 8<-> Chatting8,
Presentation 9,12,10,0.107142857,0.144897959,2.010204082,-0.306492553,2,4,0.390625,0.375,1.53125,-0.391594304,58,7,0.222222222,0.238095238,13.72222222,-0.031917195,3,5,0.452380952,0.466666667,2.523809524,1.15947216,1.15947216,P,Presentation 9,
Presentation 10,13,10,0.133437991,0.144897959,2.459183673,0.290934555,2,4,0.421875,0.375,1.59375,-0.248835874,75,6,0.222222222,0.259259259,17.44444444,1.455701622,4,4,0.422619048,0.44047619,2.571428571,1.262888734,1.262888734,P,Presentation 10,
Presentation 11,9,11,0.120181406,0.13729128,1.836734694,-0.537316663,3,3,0.385416667,0.395833333,1.75,0.1080602,76,8,0.222222222,0.25,17.88888889,1.63332775,1,2,0.404761905,0.5,0.904761905,-2.356691369,0.1080602,D,Presentation 11<-> Discussion19,
Presentation 12,16,13,0.130102041,0.144427002,3.020408163,1.03771844,1,3,0.46875,0.395833333,1.0625,-1.462282526,60,8,0.222222222,0.25,14.33333333,0.21231873,3,4,0.412698413,0.44047619,2.119047619,0.280431278,1.03771844,C,Presentation 12<-> Chatting9,
Presentation 13,6,6,0.105442177,0.108843537,0.959183673,-1.705015101,2,1,0.421875,0.375,1.03125,-1.533661741,75,7,0.222222222,0.253968254,17.55555556,1.500108154,4,3,0.422619048,0.444444444,2.357142857,0.79751415,0.79751415,P,Presentation 13,
Presentation 14,15,11,0.119727891,0.14471243,2.591836735,0.46744711,3,4,0.385416667,0.375,1.90625,0.464956274,45,7,0.222222222,0.253968254,10.88888889,-1.164283757,2,5,0.452380952,0.466666667,2.071428571,0.177014703,0.46744711,D,Presentation 14<-> Discussion19,
Presentation 15,11,6,0.103896104,0.12244898,1.510204082,-0.971809105,2,2,0.421875,0.4375,1.28125,-0.962628022,75,7,0.222222222,0.253968254,17.55555556,1.500108154,4,3,0.422619048,0.444444444,2.357142857,0.79751415,0.79751415,P,Presentation 15,
Presentation 16,16,13,0.130102041,0.144427002,3.020408163,1.03771844,2,2,0.421875,0.4375,1.28125,-0.962628022,75,6,0.222222222,0.259259259,17.44444444,1.455701622,2,3,0.44047619,0.5,1.630952381,-0.77958861,1.03771844,C,Presentation 16<-> Chatting11,
Presentation 17,8,10,0.132653061,0.144897959,1.785714286,-0.605206107,2,3,0.421875,0.395833333,1.4375,-0.605731948,57,8,0.222222222,0.25,13.66666667,-0.054120461,2,5,0.428571429,0.466666667,2.023809524,0.073598129,0.073598129,P,Presentation 17,
Presentation 18,8,8,0.137755102,0.132653061,1.632653061,-0.808874439,6,0,0.317708333,NaN,#VALUE!,#VALUE!,55,8,0.222222222,0.25,13.22222222,-0.231746588,4,3,0.422619048,0.444444444,2.357142857,0.79751415,#VALUE!,P,Presentation 18,
Presentation 19,15,13,0.129251701,0.144427002,2.87755102,0.847627997,5,0,0.31875,NaN,#VALUE!,#VALUE!,43,8,0.222222222,0.25,10.55555556,-1.297503353,2,3,0.44047619,0.420634921,1.511904762,-1.038130046,#VALUE!,C,Presentation 19<-> Chatting13,
Presentation 20,16,13,0.130102041,0.144427002,3.020408163,1.03771844,3,2,0.385416667,0.34375,1.5,-0.462973518,60,8,0.222222222,0.25,14.33333333,0.21231873,2,4,0.44047619,0.482142857,1.845238095,-0.314214025,1.03771844,C,Chatting 20<-> Presentation20,
Presentation 21,11,8,0.128014842,0.132653061,1.93877551,-0.401537775,3,2,0.385416667,0.34375,1.5,-0.462973518,41,6,0.222222222,0.240740741,9.833333333,-1.58614581,2,5,0.44047619,0.5,2.130952381,0.306285421,0.306285421,P,Presentation 21,
Presentation 22,9,9,0.133786848,0.142857143,1.846938776,-0.523738774,3,3,0.385416667,0.395833333,1.75,0.1080602,57,7,0.222222222,0.238095238,13.5,-0.120730258,2,5,0.428571429,0.466666667,2.023809524,0.073598129,0.1080602,D,Presentation 22<-> Discussion19,
Presentation 23,16,13,0.130102041,0.144427002,3.020408163,1.03771844,3,4,0.385416667,0.375,1.90625,0.464956274,39,8,0.222222222,0.25,9.666666667,-1.652755607,3,4,0.452380952,0.476190476,2.30952381,0.694097575,1.03771844,C,Presentation 23<-> Chatting24,
Presentation 24,12,11,0.129251701,0.13729128,2.306122449,0.087266223,3,2,0.385416667,0.34375,1.5,-0.462973518,60,8,0.222222222,0.25,14.33333333,0.21231873,2,4,0.44047619,0.482142857,1.845238095,-0.314214025,0.087266223,C,Presentation 24<-> Chatting33,
Presentation 25,7,8,0.139941691,0.132653061,1.510204082,-0.971809105,1,3,0.46875,0.395833333,1.0625,-1.462282526,57,7,0.222222222,0.238095238,13.5,-0.120730258,4,4,0.422619048,0.44047619,2.571428571,1.262888734,1.262888734,P,Presentation 25,
Presentation 26,16,13,0.130102041,0.144427002,3.020408163,1.03771844,1,3,0.46875,0.395833333,1.0625,-1.462282526,56,8,0.222222222,0.25,13.44444444,-0.142933524,2,3,0.44047619,0.420634921,1.511904762,-1.038130046,1.03771844,C,Presentation 26<-> Chatting40,
Presentation 27,15,13,0.129251701,0.144427002,2.87755102,0.847627997,2,3,0.421875,0.395833333,1.4375,-0.605731948,55,8,0.222222222,0.25,13.22222222,-0.231746588,1,4,0.428571429,0.44047619,1.30952381,-1.477650487,0.847627997,C,Presentation 27<-> Chatting3,
Presentation 28,13,13,0.127158556,0.144427002,2.591836735,0.46744711,3,4,0.385416667,0.375,1.90625,0.464956274,42,7,0.222222222,0.253968254,10.22222222,-1.430722948,3,5,0.452380952,0.466666667,2.523809524,1.15947216,1.15947216,P,Presentation 28,
